track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,segment_type,segment_order,start_time,end_time,label
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,tempo,0,0.0,14.378666666666666,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,tempo,1,14.378666666666666,124.42666666666666,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,tempo,2,124.42666666666666,140.58666666666667,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,tempo,3,140.58666666666667,189.274,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,chroma,0,0.0,32.34133333333333,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,chroma,1,32.34133333333333,94.72,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,chroma,2,94.72,140.72533333333334,
1pMK3CNjKECeAavfhMi1kn,"['3VRyybsQu0MDG0F2LBxnv7', '7GQsOji7pfixzkLt63awo5']","['house', 'tech house', 'electro house', 'bass house']",4 The People,"Noizu, Tony Romera","Noizu, Tony Romera - 4 The People.mp3",189.274,E minor,0.3235626520342299,9A,chroma,3,140.72533333333334,189.274,
4kHBHWImDEER3i2iV7zyrJ,['24neLwyYRyj4ItaGnFeIT0'],"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap']",4AM,JOYRYDE,JOYRYDE - 4AM.mp3,269.123,F minor,0.6952827136228207,4A,tempo,0,0.0,42.60266666666666,
4kHBHWImDEER3i2iV7zyrJ,['24neLwyYRyj4ItaGnFeIT0'],"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap']",4AM,JOYRYDE,JOYRYDE - 4AM.mp3,269.123,F minor,0.6952827136228207,4A,tempo,1,42.60266666666666,203.648,
