SongID,TrackName,Artists,Genre,FilePath
188,Show Me Love,HELLMATE/Santiago & Carlitos/Chantal Lewis Brown,,..\data\audio_files\processed\188.mp3
189,Move Mint - VIP,Herobust,Brostep,..\data\audio_files\processed\189.mp3
190,WTF VIP - Herobust VIP Mix,Herobust,Brostep,..\data\audio_files\processed\190.mp3
191,Most Really Pretty Girls Have Pretty Ugly Feet,HNNY,Deep House,..\data\audio_files\processed\191.mp3
192,Solsidan - Original Mix,HNNY,Deep House,..\data\audio_files\processed\192.mp3
193,Stand (feat. Cor.Ece) - Edit,Honey Dijon/Cor.Ece,,..\data\audio_files\processed\193.mp3
194,Bring It Back,HoneyLuv/Cakes da Killa,Tech House,..\data\audio_files\processed\194.mp3
195,Never Enough,Hot Since 82/Us Two/Paige Cavell,Deep Disco House,..\data\audio_files\processed\195.mp3
196,You & I,HotLap/SHELLS,,..\data\audio_files\processed\196.mp3
197,NaNa Djon,HUGEL/Francis Mercier/Victor Démé,Deep House,..\data\audio_files\processed\197.mp3
198,Tututu - Radio Edit,HUGEL/Malóne/PV Aparataje/KD One/CVMPANILE/Draxx (ITA),Deep House,..\data\audio_files\processed\198.mp3
199,Marianela (Que Pasa),HUGEL/Merk & Kremont/Lirico En La Casa,Deep House,..\data\audio_files\processed\199.mp3
200,Dale,HUGEL/Peppe Citarella/Billy the Diamond,Deep House,..\data\audio_files\processed\200.mp3
201,Chakachaka,HUGEL/Tom Enzy/Nfasis/Damien N-Drix,Deep House,..\data\audio_files\processed\201.mp3
202,Why Can't U,Hush Hush,,..\data\audio_files\processed\202.mp3
203,Ohh LALA,Idris Elba/Sasha GiGi,Uk Tech House,..\data\audio_files\processed\203.mp3
204,Last Night a D.J. Saved My Life - Smeddles More Ass Mix,Indeep/George Smeddles,Post-Disco,..\data\audio_files\processed\204.mp3
205,Angst,INZO,,..\data\audio_files\processed\205.mp3
206,Bass In Yo Face,INZO,,..\data\audio_files\processed\206.mp3
207,Let It Slide,INZO/Blookah/Leo Napier,,..\data\audio_files\processed\207.mp3
208,Food for the Soul,it's murph,Stutter House,..\data\audio_files\processed\208.mp3
209,Dancing At The Disco,J. Worra/Cherry Tooth,Bass House,..\data\audio_files\processed\209.mp3
210,All The Girls,J. Worra/Shift K3Y,Bass House,..\data\audio_files\processed\210.mp3
211,The Feels,jackLNDN,Nu Disco,..\data\audio_files\processed\211.mp3
212,Drums (Feat. Kim Petras),James Hype/Kim Petras,Deep Groove House,..\data\audio_files\processed\212.mp3
213,Lose Control,James Hype,Deep Groove House,..\data\audio_files\processed\213.mp3
214,Number 1,James Hype/Major Lazer,Deep Groove House,..\data\audio_files\processed\214.mp3
215,The Boy Is Mine,James Mac/Vall/Rosalie,Melodic House,..\data\audio_files\processed\215.mp3
216,Fine Fine Baby (with Kah-Lo),Jamie Jones/Kah-Lo,Deep Disco House,..\data\audio_files\processed\216.mp3
217,Lose My Mind,Jamie Jones,Deep Disco House,..\data\audio_files\processed\217.mp3
218,Rinse,Jared Jackson,,..\data\audio_files\processed\218.mp3
219,Forever,Jax Jones/RobbieG,Dance Pop,..\data\audio_files\processed\219.mp3
220,Giving Me,Jazzy,Pop Dance,..\data\audio_files\processed\220.mp3
221,NRG,Jazzy,Pop Dance,..\data\audio_files\processed\221.mp3
222,Stardust,Jazzy,Pop Dance,..\data\audio_files\processed\222.mp3
223,Bel Mercy,Jengi,Dutch Pop,..\data\audio_files\processed\223.mp3
224,Take U,Jengi,Dutch Pop,..\data\audio_files\processed\224.mp3
225,Vibration,Jenn Getz & Alfie,,..\data\audio_files\processed\225.mp3
226,Bad Bassline,Jenn Getz & Alfie/DJ Luck & MC Neat,,..\data\audio_files\processed\226.mp3
227,Temptation (feat. Poppy Baskcomb),Jess Bays/Poppy Baskcomb,Uk Dance,..\data\audio_files\processed\227.mp3
228,Colourblind,Jess Bays/Hayley May,Uk Dance,..\data\audio_files\processed\228.mp3
229,Real Love,Jess Bays/Kelli-Leigh,Uk Dance,..\data\audio_files\processed\229.mp3
230,Come My Way,JLV/Jawedsway/Jerry Island,Chill House,..\data\audio_files\processed\230.mp3
231,Show Me (feat. Hannah Boleyn),John Summit/Hannah Boleyn,Edm,..\data\audio_files\processed\231.mp3
232,Where You Are - Gorgon City Remix,John Summit/Hayla/Gorgon City,Edm,..\data\audio_files\processed\232.mp3
233,Legacy,John Summit/VLTRA (IT),Edm,..\data\audio_files\processed\233.mp3
