danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,overall_tempo,times_tempogram_kfixed,times_chroma_kfixed,numseg_combined_kfixed,times_combined_kfixed
0.567,0.938,10,-3.503,1,0.052,0.0179,0.00943,0.741,0.288,127.97,4,0HObjm9VehCggBxMmzWOoZ,"['4xnMDfgEmXZEEDdITKcGuE', '4IRiL3zGMaYYVa9nDXTu1Q']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",Escape (with Nomra),"Audien, Nomra",Audien - Escape (with Nomra).mp3,148.594,D major,0.6653689391015524,10B,127.8409090909091,"7.8293333333333335,17.493333333333332,49.248","39.89333333333333,66.112,99.69066666666667",4.0,"7.8293333333333335,39.89333333333333,66.112,99.69066666666667"
0.278,0.286,1,-7.981,1,0.0374,0.39,0.0291,0.107,0.036,124.648,4,3EN0qzn6u3Pa1FFd8m1IZO,"['4xnMDfgEmXZEEDdITKcGuE', '5140yrzsnpa1lfbprImDw0']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",See You On The Other Side [Upmost Remix],"Audien, Upmost",Audien - See You On The Other Side [Upmost Remix].mp3,199.462,B major,0.885647897549948,1B,125.0,"90.72,129.73866666666666,191.11466666666666","61.333333333333336,91.40266666666666,159.2",5.0,"61.333333333333336,90.72,129.73866666666666,159.2,191.11466666666666"
0.442,0.277,2,-10.431,1,0.0336,0.466,0.432,0.16,0.0385,120.044,4,3nH63EMuuXzpGnNl93KEzK,['4xnMDfgEmXZEEDdITKcGuE'],"['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",See You On The Other Side,Audien,Audien - See You On The Other Side.mp3,181.253,A# major,0.7863726568099191,6B,119.68085106382979,"28.096,82.38933333333334,147.872","32.256,63.84,112.02133333333333",5.0,"28.096,63.84,82.38933333333334,112.02133333333333,147.872"
0.644,0.616,1,-3.928,0,0.0391,0.0927,0.0,0.105,0.467,124.957,4,3Dr0xDJwXy6JkiHNJfv5zd,"['4xnMDfgEmXZEEDdITKcGuE', '3SHmKHBjw1ks5yXtblJWPn']","['progressive electro house', 'singer-songwriter pop', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",Wish It Was You,"Audien, Cate Downey","Audien, Cate Downey - Wish It Was You.mp3",188.361,G# major,0.6749126093368538,4B,125.0,"14.410666666666666,93.52533333333334,145.10933333333332","30.592,124.128,153.44",5.0,"14.410666666666666,30.592,93.52533333333334,124.128,145.10933333333332"
0.549,0.835,2,-2.632,1,0.0656,0.0692,0.0,0.212,0.423,126.08,4,33lXq3csEWwYNn6x0sM3Et,"['4xnMDfgEmXZEEDdITKcGuE', '32WkQRZEVKSzVAAYqukAEA']","['progressive electro house', 'country road', 'progressive house', 'contemporary country', 'edm', 'country pop', 'pop dance', 'country', 'country dawn', 'electro house', 'pop edm']",Something Better,"Audien, Lady A","Audien, Lady A - Something Better.mp3",209.179,A# major,0.6745287880617935,6B,125.0,"100.78933333333333,114.29333333333334,129.48266666666666","23.157333333333334,160.37333333333333,190.592",6.0,"23.157333333333334,100.78933333333333,114.29333333333334,129.48266666666666,160.37333333333333,190.592"
0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,4,1nV6VafLPuRSsXgbDY3i6L,"['4xnMDfgEmXZEEDdITKcGuE', '7CWqlWlNqgpEYr4vwcVzCJ']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm', 'australian electropop']",One Last Dance,"Audien, XIRA","Audien, XIRA - One Last Dance.mp3",180.509,F# minor,0.5892932503745708,11A,119.68085106382979,"35.264,82.74133333333333,100.69333333333333","35.82933333333333,81.80266666666667,115.76533333333333",4.0,"35.264,82.74133333333333,100.69333333333333,115.76533333333333"
0.742,0.604,1,-8.452,1,0.0522,0.251,0.000272,0.209,0.497,74.94,4,08tdFfSLp50Wv6HIcfH9YP,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",Baby Blues,AUDREY NUNA,AUDREY NUNA - Baby Blues.mp3,105.562,B minor,0.5655081758246936,10A,100.44642857142857,"18.666666666666668,35.25333333333333,40.98133333333333","16.469333333333335,53.909333333333336,67.91466666666666",4.0,"18.666666666666668,35.25333333333333,53.909333333333336,67.91466666666666"
0.852,0.549,10,-7.31,0,0.317,0.0988,1.35e-06,0.122,0.666,162.027,4,01ukVTKa6DhejzNulpoG2t,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",damn Right,AUDREY NUNA,AUDREY NUNA - damn Right.mp3,163.598,F# minor,0.2934839139502561,11A,160.71428571428572,"71.92533333333333,77.13066666666667,148.81066666666666","10.549333333333333,101.01333333333334,112.04266666666666",5.0,"10.549333333333333,71.92533333333333,101.01333333333334,112.04266666666666,148.81066666666666"
0.759,0.939,7,-5.072,1,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,0dwy0PQvzCgRID2ybdsCiA,"['3SvCpwSeoWCcjfo8zjPZKB', '1Bk2KyFVMN5PeyVyDIiLqF']","['canadian electronic', 'brostep', 'afroswing', 'birmingham hip hop', 'trap queen', 'electro house']",Bling,"Autoerotique, Lady Leshurr",Autoerotique - Bling (feat. Lady Leshurr).mp3,255.37,F minor,0.33254981978827436,4A,122.28260869565217,"15.850666666666667,183.05066666666667,188.58666666666667","156.85333333333332,159.52,190.41066666666666",3.0,"15.850666666666667,156.85333333333332,183.05066666666667"
0.893,0.544,10,-6.484,1,0.0328,0.309,0.469,0.583,0.264,118.017,4,2oqDqIxDUoWhDjuW5yNx01,['28yVvEvA2lT3K5RNIhV1Dj'],"['vapor soul', 'indie electropop']",When I'm Alone,BAYNK,BAYNK - When I'm Alone.mp3,183.428,D major,0.39537909616460765,10B,117.1875,"98.28266666666667,124.512,163.36","97.73866666666666,128.288,162.624",3.0,"98.28266666666667,124.512,163.36"
