danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename
0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,4,1nV6VafLPuRSsXgbDY3i6L,"['4xnMDfgEmXZEEDdITKcGuE', '7CWqlWlNqgpEYr4vwcVzCJ']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm', 'australian electropop']",One Last Dance,"Audien, XIRA","Audien, XIRA - One Last Dance.mp3"
0.742,0.604,1,-8.452,1,0.0522,0.251,0.000272,0.209,0.497,74.94,4,08tdFfSLp50Wv6HIcfH9YP,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",Baby Blues,AUDREY NUNA,AUDREY NUNA - Baby Blues.mp3
0.852,0.549,10,-7.31,0,0.317,0.0988,1.35e-06,0.122,0.666,162.027,4,01ukVTKa6DhejzNulpoG2t,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",damn Right,AUDREY NUNA,AUDREY NUNA - damn Right.mp3
0.759,0.939,7,-5.072,1,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,0dwy0PQvzCgRID2ybdsCiA,"['3SvCpwSeoWCcjfo8zjPZKB', '1Bk2KyFVMN5PeyVyDIiLqF']","['canadian electronic', 'brostep', 'afroswing', 'birmingham hip hop', 'trap queen', 'electro house']",Bling,"Autoerotique, Lady Leshurr",Autoerotique - Bling (feat. Lady Leshurr).mp3
0.893,0.544,10,-6.484,1,0.0328,0.309,0.469,0.583,0.264,118.017,4,2oqDqIxDUoWhDjuW5yNx01,['28yVvEvA2lT3K5RNIhV1Dj'],"['vapor soul', 'indie electropop']",When I'm Alone,BAYNK,BAYNK - When I'm Alone.mp3
0.829,0.985,1,-3.33,1,0.067,0.000347,0.762,0.0326,0.599,124.983,4,58cJhEdo6YCEP1Lw4BJo9g,['1PiNBMw3iIaG021gWeidUY'],['bass house'],Everybody Goes,Bellecour,Bellecour - Everybody Goes.mp3
0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,4,2Ob2E0owyR8gdF0YGf0fZp,['0PxzGnCYBpSuaI49OR94cA'],[],Joypunks,Big Wild,Big Wild - Joypunks.mp3
0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,4,5zwwW9Oq7ubSxoCGyW1nbY,['41MozSoPIsD1dJM0CLPjZF'],"['k-pop', 'pop', 'k-pop girl group']",Pink Venom,BLACKPINK,BLACKPINK - Pink Venom.mp3
0.804,0.892,7,-3.017,1,0.07,0.0113,0.822,0.133,0.54,126.019,4,3QORLvINZ5ie3lRsTOZJqD,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Funk Accelerator,Bleu Clair,Bleu Clair - Funk Accelerator.mp3
0.685,0.846,7,-3.771,0,0.0462,0.099,0.00168,0.344,0.255,126.046,4,5NAeLHGIbxGcmKMwYxuwWS,"['7kA4sEagpoNK91I7wr9tYr', '596BA0qMEP52RCEOiqIrnr']","['indonesian edm', 'tech house', 'bass house']",Have Me All,"Bleu Clair, Jelita",Bleu Clair - Have Me All (feat. Jelita).mp3
