epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2733899652957916,2.672772169113159,0.001,0.29813724756240845,0.6786242723464966
1,0.26713573932647705,0.7596825957298279,0.001,0.30176472663879395,0.7591289281845093
2,0.2860252261161804,0.7126412987709045,0.001,0.2891176640987396,0.6780036687850952
3,0.3055485486984253,0.6730399131774902,0.001,0.30980393290519714,0.64948570728302
4,0.3323402404785156,0.6236633062362671,0.001,0.34166666865348816,0.5868861675262451
5,0.35505411028862,0.5782930850982666,0.001,0.3309803903102875,0.5902166366577148
6,0.3474687337875366,0.5784380435943604,0.001,0.33715686202049255,0.6182915568351746
7,0.35653311014175415,0.5698875784873962,0.000100000005,0.3540196120738983,0.5494771599769592
8,0.36661168932914734,0.5508207082748413,0.000100000005,0.35107842087745667,0.5462254881858826
9,0.36640042066574097,0.5434158444404602,0.000100000005,0.3461764454841614,0.557726263999939
